========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 2 bound to :50002. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 7550 | NetHead: 7550 | Confirmed: 7545 | Missing: 5 | StateHash: 0x43CB80CC
[HEARTBEAT] SimTick: 7591 | NetHead: 7590 | Confirmed: 7589 | Missing: 2 | StateHash: 0xC3AEB5B4
[HEARTBEAT] SimTick: 7636 | NetHead: 7635 | Confirmed: 7632 | Missing: 4 | StateHash: 0xE154BE8C
[HEARTBEAT] SimTick: 7671 | NetHead: 7671 | Confirmed: 7668 | Missing: 3 | StateHash: 0xE154BE8C
[HEARTBEAT] SimTick: 7709 | NetHead: 7709 | Confirmed: 7704 | Missing: 5 | StateHash: 0x0CDF6D62
[HEARTBEAT] SimTick: 7751 | NetHead: 7750 | Confirmed: 7746 | Missing: 5 | StateHash: 0xE7C3FE3C
[HEARTBEAT] SimTick: 7787 | NetHead: 7786 | Confirmed: 7783 | Missing: 4 | StateHash: 0xE7C3FE3C
[HEARTBEAT] SimTick: 7830 | NetHead: 7829 | Confirmed: 7827 | Missing: 3 | StateHash: 0xE2FDE8B2
[HEARTBEAT] SimTick: 7863 | NetHead: 7863 | Confirmed: 7858 | Missing: 5 | StateHash: 0xE622CFCE
[HEARTBEAT] SimTick: 7897 | NetHead: 7897 | Confirmed: 7893 | Missing: 4 | StateHash: 0x2A006BF4
[HEARTBEAT] SimTick: 7933 | NetHead: 7932 | Confirmed: 7929 | Missing: 4 | StateHash: 0x23292B49
[HEARTBEAT] SimTick: 7971 | NetHead: 7971 | Confirmed: 7969 | Missing: 2 | StateHash: 0x29180719
[HEARTBEAT] SimTick: 8016 | NetHead: 8015 | Confirmed: 8013 | Missing: 3 | StateHash: 0x6151F04C
[HEARTBEAT] SimTick: 8052 | NetHead: 8052 | Confirmed: 8048 | Missing: 4 | StateHash: 0x4AD85969
[HEARTBEAT] SimTick: 8089 | NetHead: 8088 | Confirmed: 8086 | Missing: 3 | StateHash: 0x03881F49
